validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Acer pseudoplatanus,L.,Tracheophyta,Sapindales,Sapindaceae,Acer,species,LC,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Campylium stellatum,(Hedw.) C.E.O.Jensen,Bryophyta,Hypnales,Amblystegiaceae,Campylium,species,NE,10.4262,63.4443,1,2009,Valid,Accepted,TRUE,Campylium protensum,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Encalypta rhaptocarpa,Schwägr.,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,10.4232,63.4447,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Encalypta vulgaris,Hedw.,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,10.4226,63.4447,10,2017,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Zygodon viridissimus,(Dicks.) Brid.,Bryophyta,Orthotrichales,Orthotrichaceae,Zygodon,species,NE,10.4235,63.4454,1414,1897,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Laburnum alpinum,(Mill.) Bercht. & J.Presl,Tracheophyta,Fabales,Fabaceae,Laburnum,species,LC,10.424,63.445,7,2005,Valid,Accepted,FALSE,"",smallest ID,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Potentilla erecta,(L.) Raeusch.,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Geum hispidum,Fr.,Tracheophyta,Rosales,Rosaceae,Geum,species,NE,10.42185,63.445276,25,2012,Valid,Accepted,TRUE,Geum urbanum var. hispidum,Accepted,b124e1e0-4755-430f-9eab-894f25a9b59c
Arabis caucasica,Willd.,Tracheophyta,Brassicales,Brassicaceae,Arabis,species,NE,10.427024,63.444321,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Campanula rotundifolia,L.,Tracheophyta,Asterales,Campanulaceae,Campanula,species,NE,10.426153,63.444461,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
